Permit Number,Facility Name,Address,City,Owner,Tank  Capacity/Substance,Date Installed,Facility Description
GEPA-UST-083,Lufthansa Service (LSG) (SPPC),166 Guerrero Street Harmon Industrial Park,Tamuning,South Pacific Petroleum Corporation,T1-2500 Diesel,1993-09-01 00:00:00,Commercial
GEPA-UST-084,76 Agat Station (SPPC),"Route 2
Lot 33-1-1-1 & Lot 33-1-2-
1 Agat",Agat,South Pacific Petroleum Corporation,T1-10000 Gas T2-8000 Diesel T3-12000 Gas,1994-11-01 00:00:00,Gas Station
GEPA-UST-085,76 Airport Station (SPPC),Intersections of Route 1 and 10A,Tamuning,South Pacific Petroleum Corporation,T1-10000 Gas T2-8000 Diesel T3-12000 Gas,1994-09-01 00:00:00,Gas Station
GEPA-UST-086,76 Anigua Station (SPPC),Route 1,Anigua,South Pacific Petroleum Corporation,T1-12000 Gas T2-10000 Diesel T3-12000 Gas,1992-04-01 00:00:00,Gas Station
GEPA-UST-087,76 Barrigada Station (SPPC),Intersections of Route 8 and 10,Barrigada,South Pacific Petroleum Corporation,T1-10000 Diesel T2-12000 Gas T3-12000 Gas,1992-03-01 00:00:00,Gas Station
GEPA-UST-088,76 Cabras Station (SPPC),"Cabras Road, Route 11
Lot 2 Lot 3A Tract 245 Cabras Island",Piti,South Pacific Petroleum Corporation,T1-4000 Gas,1991-11-01 00:00:00,Gas Station
GEPA-UST-089,76 Dededo Station (SPPC),Route 1,Dededo,South Pacific Petroleum Corporation,T1-10000 Diesel T2-12000 Gas T3-12000 Gas,1990-03-01 00:00:00,Gas Station
GEPA-UST-090,76 Malojloj Station (SPPC),Route 4,Inarajan,South Pacific Petroleum Corporation,"T1-6000 Diesel
T2-8000 Gas T3-8000 Gas",1992-04-01 00:00:00,Gas Station
GEPA-UST-091,76 Ocean Vista Station (SPPC),Intersections of Route 10A and 16,Barrigada,South Pacific Petroleum Corporation,"T1-12000 Gas T2-12000 Gas
T3-10000 Diesel",1992-08-01 00:00:00,Gas Station
GEPA-UST-092,76 Piti Station (SPPC),396 Marine Corps Drive,Piti,South Pacific Petroleum Corporation,T1-6000 Gas T2-3000 Gas,2010-01-01 00:00:00,Gas Station
GEPA-UST-093,76 Sinajana Station (SPPC),Route 4,Sinajana,South Pacific Petroleum Corporation,"T1-12000 Gas
T2-10000 Diesel T3-12000 Gas",1991-10-01 00:00:00,Gas Station
GEPA-UST-094,76 Ypao Station (SPPC),Intersections of Route 1 and 10B,Tamuning,South Pacific Petroleum Corporation,"T1-12000 Gas T2-12000 Gas
T3-4000 Diesel",1990-08-01 00:00:00,Gas Station
GEPA-UST-095,Paradisu Estates (SPPC),Cross Island Road Route 4A,Talofofo,"South Pacific Petroleum
Corporation",T1-1000 LPG,2009-05-01 00:00:00,Residential
GEPA-UST-096,Talo Verde Estates (SPPC),Ypao Road,Tamuning,South Pacific Petroleum Corporation,T1-1000 LPG T2-1000 LPG,2008-01-01 00:00:00,Residential
GEPA-UST-097,Bldg. 303 NEX Autoport,"Building 303 Bullard Avenue, NCTAMS",Dededo,U.S. Naval Forces Marianas,T1-8000 Gas T2-5000 Gas T3-4000 Gas,1997-06-01 00:00:00,Gas Station
GEPA-UST-099,University of Guam,UOG Station,Mangilao,Government of Guam,"T1-4000 Diesel T2-2500 Diesel
T3-2500 Diesel","01-Nov-91
01-Nov-95",State Government
GEPA-UST-100,East West Business Center,744 North Marine Dr.,Tamuning,"EAST WEST BUSINESS
CENTER","T1-2500 Diesel
T2-1000 Diesel",1995-11-01 00:00:00,Commercial
GEPA-UST-101,Pacific Star Resort & Spa,627B Pale San Vitores Road,Tamuning,Marianas Properties LLC,"T1-15000 Diesel
T2-15000 Diesel",1986-12-01 00:00:00,Commercial
GEPA-UST-102,Docomo Pacific - Agana,173 Aspinall Avenue,Hagatna,Docomo Pacific,T1-2500 Diesel,1994-02-01 00:00:00,Utilities
GEPA-UST-103,Docomo Pacific - Yona,"Lot # 177-1 Pulantat 570 Chalan
Teloforo",Yona,Docomo Pacific,T1-8000 Diesel,1998-08-01 00:00:00,Utilities
