AltFacilityID,LocName,Latitude,Longitude
GEPA-UST-081,Leo Palace Resort (SPPC),13.414716,144.737083
GEPA-UST-083,Lufthansa Service (LSG) (SPPC),13.500047,144.809766
GEPA-UST-084,SPPC 76 Agat Station,13.397858,144.663438
GEPA-UST-084,SPPC 76 Agat Station,13.397858,144.663438
GEPA-UST-084,SPPC 76 Agat Station,13.397858,144.663438
GEPA-UST-085,SPPC 76 Airport Station,13.494738,144.794752
GEPA-UST-085,SPPC 76 Airport Station,13.494738,144.794752
GEPA-UST-085,SPPC 76 Airport Station,13.494738,144.794752
GEPA-UST-086,SPPC 76 Anigua Station,13.4781,144.737327
GEPA-UST-086,SPPC 76 Anigua Station,13.4781,144.737327
GEPA-UST-086,SPPC 76 Anigua Station,13.4781,144.737327
GEPA-UST-087,SPPC 76 Barrigada Station,13.469447,144.801527
GEPA-UST-087,SPPC 76 Barrigada Station,13.469447,144.801527
GEPA-UST-087,SPPC 76 Barrigada Station,13.469447,144.801527
GEPA-UST-088,SPPC 76 Cabras Station,13.463761,144.665461
GEPA-UST-089,SPPC 76 Dededo Station,13.5139,144.839269
GEPA-UST-089,SPPC 76 Dededo Station,13.5139,144.839269
GEPA-UST-089,SPPC 76 Dededo Station,13.5139,144.839269
GEPA-UST-090,SPPC 76 Malojloj Station,13.302067,144.76205
GEPA-UST-090,SPPC 76 Malojloj Station,13.302067,144.76205
GEPA-UST-090,SPPC 76 Malojloj Station,13.302067,144.76205
GEPA-UST-091,SPPC 76 Ocean Vista Station,13.497986,144.81958
GEPA-UST-091,SPPC 76 Ocean Vista Station,13.497986,144.81958
GEPA-UST-091,SPPC 76 Ocean Vista Station,13.497986,144.81958
GEPA-UST-092,SPPC 76 Piti Station,13.46475,144.693877
GEPA-UST-092,SPPC 76 Piti Station,13.46475,144.693877
GEPA-UST-093,SPPC 76 Sinajana Station,13.459711,144.759402
GEPA-UST-093,SPPC 76 Sinajana Station,13.459711,144.759402
GEPA-UST-093,SPPC 76 Sinajana Station,13.459711,144.759402
GEPA-UST-094,SPPC 76 Ypao Station,13.490958,144.790047
GEPA-UST-094,SPPC 76 Ypao Station,13.490958,144.790047
GEPA-UST-094,SPPC 76 Ypao Station,13.490958,144.790047
GEPA-UST-095,Paradisu Estates (SPPC),13.365286,144.742544
GEPA-UST-096,Talo Verde Estates,13.498631,144.793008
GEPA-UST-096,Talo Verde Estates,13.498631,144.793008
GEPA-UST-097,NEX NCTAMS WestPac Autoport,13.579686,144.843988
GEPA-UST-097,NEX NCTAMS WestPac Autoport,13.579686,144.843988
GEPA-UST-097,NEX NCTAMS WestPac Autoport,13.579686,144.843988
GEPA-UST-099,University of Guam,13.430505,144.80413
GEPA-UST-099,University of Guam,13.430505,144.80413
GEPA-UST-099,University of Guam,13.430505,144.80413
GEPA-UST-100,East West Business Center,13.503619,144.808433
GEPA-UST-100,East West Business Center,13.503619,144.808433
GEPA-UST-101,Pacific Star Resort & Spa,13.503597,144.79448
GEPA-UST-101,Pacific Star Resort & Spa,13.503597,144.79448
GEPA-UST-102,Docomo Pacific - Agana,13.475319,144.749772
GEPA-UST-103,Docomo Pacific - Yona,13.418563,144.751566
GEPA-UST-104,"Triple J Enterprises, Inc.",13.501491,144.800794
GEPA-UST-104,"Triple J Enterprises, Inc.",13.501491,144.800794
GEPA-UST-105,MVP Business Complex,13.459213,144.758916
GEPA-UST-106,GTA Mangilao Remote,13.4501,144.802752
GEPA-UST-107,GTA Tumon Central Office,13.503283,144.8053
GEPA-UST-108,GTA Agana Central Office,13.473044,144.75375
GEPA-UST-109,GTA  Dededo Central Office,13.515363,144.833463
GEPA-UST-110,AAFES Gas Station & KIOSK,13.475906,144.809931
GEPA-UST-110,AAFES Gas Station & KIOSK,13.475906,144.809931
GEPA-UST-111,Guam Judicial Center,13.472152,144.752536
GEPA-UST-113,Agana Beach Condominium,13.486338,144.773655
GEPA-UST-114,Coast 360 Federal Credit Union,13.476831,144.766178
GEPA-UST-115,Villa Kanton Tasi Condominium,13.507475,144.800597
GEPA-UST-116,Agat New SPS 1,13.386041,144.657516
GEPA-UST-117,Agat New SPS 2 (Tipalao),13.367338,144.651127
GEPA-UST-119,Chaligan/Taleyfac SPS,13.404205,144.671108
GEPA-UST-120,Chaot SPS - New,13.455183,144.759833
GEPA-UST-121,Commercial Port Sewer Pump Station - New,13.462761,144.669161
GEPA-UST-122,Leyang Sewer Pump Station,13.453163,144.792727
GEPA-UST-123,SureStay Hotel,13.474669,144.784561
GEPA-UST-124,"NEX NRMC, Building 5, Autoport",13.473519,144.740352
GEPA-UST-124,"NEX NRMC, Building 5, Autoport",13.473519,144.740352
GEPA-UST-126,The Laguna at Pago Bay (SPPC),13.416186,144.782864
GEPA-UST-126,The Laguna at Pago Bay (SPPC),13.416186,144.782864
GEPA-UST-127,POL Fuel Pump House I & Reciept Pad,13.565619,144.917091
GEPA-UST-127,POL Fuel Pump House I & Reciept Pad,13.565619,144.917091
GEPA-UST-127A,POL Hydrant Fuel System Phase II,13.580286,144.939038
GEPA-UST-127B,Fuel Pump Houses 3 & 4,13.590402,144.92185
GEPA-UST-127B,Fuel Pump Houses 3 & 4,13.590402,144.92185
GEPA-UST-128,Sandcastle Incorporated,13.513333,144.805611
GEPA-UST-129,First Hawaiian Bank,13.477047,144.7646
GEPA-UST-130,Guam Homeland Security/OCD,13.472194,144.749044
GEPA-UST-131,SKILLED NURSING UNIT,13.492333,144.833197
GEPA-UST-132,MENTAL HEALTH & SUBSTANCE ABUSE,13.503494,144.776225
GEPA-UST-135,Layon Landfill,13.299225,144.730783
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-137,Guam Area Fuel Division,13.453969,144.688156
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24",13.56435,144.907647
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24",13.56435,144.907647
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24",13.56435,144.907647
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24",13.56435,144.907647
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24",13.56435,144.907647
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24",13.56435,144.907647
GEPA-UST-139,Guam Memorial Hospital Authority (Decon),13.49233,144.83319
GEPA-UST-140,Shell NTI MM - Upper Tumon,13.49878,144.79767
GEPA-UST-140,Shell NTI MM - Upper Tumon,13.49878,144.79767
GEPA-UST-140,Shell NTI MM - Upper Tumon,13.49878,144.79767
GEPA-UST-140,Shell NTI MM - Upper Tumon,13.49878,144.79767
GEPA-UST-141,NEX Autoport/Minimart Service Station B1760,13.47351,144.74035
GEPA-UST-141,NEX Autoport/Minimart Service Station B1760,13.47351,144.74035
GEPA-UST-141,NEX Autoport/Minimart Service Station B1760,13.47351,144.74035
GEPA-UST-141,NEX Autoport/Minimart Service Station B1760,13.47351,144.74035
GEPA-UST-142,Applebee's Restaurant,13.49156,144.7826
GEPA-UST-143,IHOP,13.491311,144.78156
GEPA-UST-144,Ambros Incorporated (SPPC),13.4979,144.81
GEPA-UST-144,Ambros Incorporated (SPPC),13.4979,144.81
GEPA-UST-145,Westin Resort Guam,13.518202,144.806805
GEPA-UST-146,Shell Foodys Harmon (IP&E),13.50643,144.82059
GEPA-UST-146,Shell Foodys Harmon (IP&E),13.50643,144.82059
GEPA-UST-146,Shell Foodys Harmon (IP&E),13.50643,144.82059
GEPA-UST-146,Shell Foodys Harmon (IP&E),13.50643,144.82059
GIAA01,A.B. Won Pat Guam International Airport,13.495675,144.809938
GIAA01,A.B. Won Pat Guam International Airport,13.495675,144.809938
GIAA01,A.B. Won Pat Guam International Airport,13.495675,144.809938
GIAA01,A.B. Won Pat Guam International Airport,13.495675,144.809938
GIAA01,A.B. Won Pat Guam International Airport,13.495675,144.809938
GPA01,Talofofo GPA Substation,13.353258,144.752452
UST-00A,DFS Galleria - Tumon,13.501913,144.779522
