Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
3104045,"D & R DISTRIBUTORS, INC.",COWELL'S GARAGE,STAR RT 1 BOX 13,BLACKSVILLE,26521,Monongalia,2,1973-03-29,Steel,1,Permanently Out of Service,Yes,1989-03-29,6000.0,Gasoline
3104045,"D & R DISTRIBUTORS, INC.",COWELL'S GARAGE,STAR RT 1 BOX 13,BLACKSVILLE,26521,Monongalia,3,1973-03-29,Steel,1,Permanently Out of Service,Yes,1989-03-29,4000.0,Gasoline
3104091,"VANCE, JOHN",VANCE'S PARTS & SERVICE,RT 7,BLACKSVILLE,26521,Monongalia,1,1986-10-07,Steel,1,Permanently Out of Service,Yes,2015-05-05,8000.0,Diesel
3104091,"VANCE, JOHN",VANCE'S PARTS & SERVICE,RT 7,BLACKSVILLE,26521,Monongalia,2,1986-10-07,Steel,1,Permanently Out of Service,Yes,2015-05-05,8000.0,Gasoline
3104091,"VANCE, JOHN",VANCE'S PARTS & SERVICE,RT 7,BLACKSVILLE,26521,Monongalia,3,1986-10-07,Steel,1,Permanently Out of Service,Yes,2015-05-05,2000.0,Diesel
3104091,"VANCE, JOHN",VANCE'S PARTS & SERVICE,RT 7,BLACKSVILLE,26521,Monongalia,4,1986-10-07,Steel,1,Permanently Out of Service,Yes,2015-05-05,2000.0,Gasoline
3104091,"VANCE, JOHN",VANCE'S PARTS & SERVICE,RT 7,BLACKSVILLE,26521,Monongalia,5,1986-10-07,Steel,1,Permanently Out of Service,Yes,2015-05-05,2000.0,Diesel
3104111,JOE DEFAZIO OIL COMPANY,WILLARDS EXXON,RT 250,BLACKSVILLE,26505,Monongalia,-3,1986-04-23,Steel,1,Permanently Out of Service,Yes,1995-10-03,4000.0,Gasoline
3104111,JOE DEFAZIO OIL COMPANY,WILLARDS EXXON,RT 250,BLACKSVILLE,26505,Monongalia,-2,1986-04-23,Steel,1,Permanently Out of Service,Yes,1995-10-03,4000.0,Gasoline
3104111,JOE DEFAZIO OIL COMPANY,WILLARDS EXXON,RT 250,BLACKSVILLE,26505,Monongalia,-1,1986-04-23,Steel,1,Permanently Out of Service,Yes,1995-10-03,4000.0,Gasoline
