TANK_ID,OWNER_ID,OWNER_NAME,FACILITY_ID,FACILITY_NAME,TRIBAL_SITE,OPERATOR_ID,OPERATOR_NAME,TANK_TYPE,TANK_STATUS,FACILITY_LATITUDE,FACILITY_LONGITUDE,FACILITY_ADDRESS_1,FACILITY_ADDRESS_2,FACILITY_CITY,FACILITY_ZIP_CODE,FACILITY_STATE,FACILITY_COUNTY,TANK_INSTALLATION_DATE,TANK_CLOSURE_DATE
36363,76549,NEW MEXICO COMPANY OPERATIONS LLC,53298,STONE CORNER SHELL,,O14312,NEW MEXICO COMPANY OPERATIONS LLC,U,CURRENTLY IN USE,32.958735,-105.942993,175 US 82,,ALAMOGORDO,88310    ,NM,OTERO,19-FEB-03,
36369,15777,RILEY PAUL ,26349,ABANDONED GAS STATION D,,,,U,REMOVED,36.76267,-103.83777,W HWY 64 87,,DES MOINES,88418    ,NM,UNION,01-JAN-00,05-SEP-06
36370,15777,RILEY PAUL ,26349,ABANDONED GAS STATION D,,,,U,REMOVED,36.76267,-103.83777,W HWY 64 87,,DES MOINES,88418    ,NM,UNION,01-JAN-00,05-SEP-06
36371,15777,RILEY PAUL ,26349,ABANDONED GAS STATION D,,,,U,REMOVED,36.76267,-103.83777,W HWY 64 87,,DES MOINES,88418    ,NM,UNION,01-JAN-00,05-SEP-06
36372,15777,RILEY PAUL ,26349,ABANDONED GAS STATION D,,,,U,REMOVED,36.76267,-103.83777,W HWY 64 87,,DES MOINES,88418    ,NM,UNION,01-JAN-00,05-SEP-06
36373,26482,RED MESA TRADING CO INC,31838,RED MESA EXPRESS 520,,,,U,REMOVED,35.783722,-107.263536,27 MILES W OF CUBA,ON HWY 197,TORREON,87013    ,NM,SANDOVAL,01-JAN-00,11-DEC-02
36374,76038,TURNER JEREMIAH ,1214,TRAILS WEST DAIRY QUEEN,,P15598,TURNER JEREMIAH ,U,CURRENTLY IN USE,35.064724,-106.190868,I 40 AT EDGEWOOD N SIDE,,EDGEWOOD,87015    ,NM,SANTA FE,21-NOV-02,
36375,15141,TABET LUMBER INC,31505,VILLAGE STORE INC,,,,U,REMOVED,34.662178,-106.774639,601 WEST REINKEN AVENUE,,BELEN,87002    ,NM,VALENCIA,01-JAN-00,10-JAN-90
36376,15141,TABET LUMBER INC,31505,VILLAGE STORE INC,,,,U,REMOVED,34.662178,-106.774639,601 WEST REINKEN AVENUE,,BELEN,87002    ,NM,VALENCIA,01-JAN-00,10-JAN-90
36377,15141,TABET LUMBER INC,31505,VILLAGE STORE INC,,,,U,REMOVED,34.662178,-106.774639,601 WEST REINKEN AVENUE,,BELEN,87002    ,NM,VALENCIA,01-JAN-00,10-JAN-90
36378,15141,TABET LUMBER INC,31505,VILLAGE STORE INC,,,,U,REMOVED,34.662178,-106.774639,601 WEST REINKEN AVENUE,,BELEN,87002    ,NM,VALENCIA,01-JAN-00,07-JAN-90
36379,15141,TABET LUMBER INC,31505,VILLAGE STORE INC,,,,U,REMOVED,34.662178,-106.774639,601 WEST REINKEN AVENUE,,BELEN,87002    ,NM,VALENCIA,01-JAN-00,07-JAN-90
36386,76413,WESTERN REFINING RETAIL LLC,53345,SPEEDWAY 9123,,O12742,,U,CURRENTLY IN USE,32.866703,-105.968122,1957 HWY 54 S,,ALAMOGORDO,88310    ,NM,OTERO,15-SEP-02,
36387,76413,WESTERN REFINING RETAIL LLC,53345,SPEEDWAY 9123,,O12742,,U,CURRENTLY IN USE,32.866703,-105.968122,1957 HWY 54 S,,ALAMOGORDO,88310    ,NM,OTERO,15-SEP-02,
36402,14164,CARBONIC RESERVES,27232,CARBONIC RESERVES,,,,U,EXEMPT,,,BUEYEROS RD,,CLAYTON,88415    ,NM,UNION,01-JAN-00,
36403,47115,218 MONTEZUMA ASSOCIATES LLC,47997,210 AND 218 MONTEZUMA AVENUE,,,,U,REMOVED,35.68434,-105.94313,210 MONTEZUMA AVE,,SANTA FE,87501    ,NM,SANTA FE,01-JAN-20,01-JAN-80
36404,47115,218 MONTEZUMA ASSOCIATES LLC,47997,210 AND 218 MONTEZUMA AVENUE,,,,U,REMOVED,35.68434,-105.94313,210 MONTEZUMA AVE,,SANTA FE,87501    ,NM,SANTA FE,01-JAN-20,01-JAN-80
36405,47115,218 MONTEZUMA ASSOCIATES LLC,47997,210 AND 218 MONTEZUMA AVENUE,,,,U,REMOVED,35.68434,-105.94313,210 MONTEZUMA AVE,,SANTA FE,87501    ,NM,SANTA FE,01-JAN-20,01-JAN-80
36410,16559,MR GAS INC,29495,MR GAS MART,,O3565,MR GAS INC,U,CURRENTLY IN USE,35.06188,-106.192086,NW CORNER AND HWY 66,AND HWY 344,EDGEWOOD,87015    ,NM,SANTA FE,03-MAR-03,
36411,16559,MR GAS INC,29495,MR GAS MART,,O3565,MR GAS INC,U,CURRENTLY IN USE,35.06188,-106.192086,NW CORNER AND HWY 66,AND HWY 344,EDGEWOOD,87015    ,NM,SANTA FE,03-MAR-03,
36412,16559,MR GAS INC,29495,MR GAS MART,,O3565,MR GAS INC,U,CURRENTLY IN USE,35.06188,-106.192086,NW CORNER AND HWY 66,AND HWY 344,EDGEWOOD,87015    ,NM,SANTA FE,03-MAR-03,
36414,47112,MATAYA SMITH LAKE CO INC,53349,SMITH LAKE CHEVRON,,O4162,MATAYA SMITH LAKE CO INC,U,REMOVED,35.523318,-108.133261,HWY 371,,SMITH LAKE,87323    ,NM,MCKINLEY,22-AUG-02,23-JUL-24
36415,47112,MATAYA SMITH LAKE CO INC,53349,SMITH LAKE CHEVRON,,O4162,MATAYA SMITH LAKE CO INC,U,REMOVED,35.523318,-108.133261,HWY 371,,SMITH LAKE,87323    ,NM,MCKINLEY,22-AUG-02,23-JUL-24
36419,2857,SMITHS FOOD AND DRUG CENTERS INC,53515,SMITH'S #448 FUEL CENTER,,O11456,SMITHS FOOD AND DRUG CENTERS INC,U,CURRENTLY IN USE,35.183636,-106.686843,9201 GOLF COURSE RD NW,,ALBUQUERQUE,87114    ,NM,BERNALILLO,20-MAR-03,
36420,2857,SMITHS FOOD AND DRUG CENTERS INC,53515,SMITH'S #448 FUEL CENTER,,O11456,SMITHS FOOD AND DRUG CENTERS INC,U,CURRENTLY IN USE,35.183636,-106.686843,9201 GOLF COURSE RD NW,,ALBUQUERQUE,87114    ,NM,BERNALILLO,20-MAR-03,
36468,47249,SMITH BERNARD ,53519,A AND I PARTS,,,,U,EXEMPT,36.452733,-103.184624,102 1ST ST,,CLAYTON,88415    ,NM,UNION,01-JAN-31,28-JUN-02
36469,47249,SMITH BERNARD ,53519,A AND I PARTS,,,,U,EXEMPT,36.452733,-103.184624,102 1ST ST,,CLAYTON,88415    ,NM,UNION,01-JAN-31,
36470,47249,SMITH BERNARD ,53519,A AND I PARTS,,,,U,EXEMPT,36.452733,-103.184624,102 1ST ST,,CLAYTON,88415    ,NM,UNION,01-JAN-31,
36471,47249,SMITH BERNARD ,53519,A AND I PARTS,,,,U,EXEMPT,36.452733,-103.184624,102 1ST ST,,CLAYTON,88415    ,NM,UNION,01-JAN-31,
36472,47250,ABEYTA JAMES ,53520,J D EXCAVATION,,P5850,ABEYTA JAMES ,U,REMOVED,35.117727,-106.622103,3311 COLUMBIA NE,,ALBUQUERQUE,87107    ,NM,BERNALILLO,16-DEC-02,19-JUL-17
36477,276362,BW GAS CONVENIENCE JOBBER LLC,883,ALLSUP'S # 102009,,O13900,BW GAS CONVENIENCE RETAIL LLC,U,CURRENTLY IN USE,32.91481,-105.946419,1033 INDIAN WELLS,,ALAMOGORDO,88310    ,NM,OTERO,13-SEP-02,
36478,276362,BW GAS CONVENIENCE JOBBER LLC,883,ALLSUP'S # 102009,,O13900,BW GAS CONVENIENCE RETAIL LLC,U,CURRENTLY IN USE,32.91481,-105.946419,1033 INDIAN WELLS,,ALAMOGORDO,88310    ,NM,OTERO,13-SEP-02,
36479,26582,T D INDUSTRIES INC,1058,SHORTYS ON SPRUCE,,O3979,T D INDUSTRIES INC,U,REMOVED,32.32131,-106.77148,1025 E SPRUCE,,LAS CRUCES,88001    ,NM,DONA ANA,31-MAY-01,03-AUG-20
36480,43555,CALDON FARMS,30180,CALDON FUEL FARM,,O10615,CALDON FARMS,U,TEMPORARILY OUT OF USE,34.424638,-103.623524,8TH AND DENBY,,MELROSE,88124    ,NM,CURRY,15-DEC-92,
36484,76338,SANDIA PUEBLO,53428,SANDIA FUEL,,O12062,SANDIA PUEBLO,U,EXEMPT,35.299842,-106.550997,1100 CAMINO DEL PUEBLO,,BERNALILLO,87004    ,NM,SANDOVAL,19-APR-03,
36485,76338,SANDIA PUEBLO,53428,SANDIA FUEL,,O12062,SANDIA PUEBLO,U,EXEMPT,35.299842,-106.550997,1100 CAMINO DEL PUEBLO,,BERNALILLO,87004    ,NM,SANDOVAL,19-APR-03,
36486,76338,SANDIA PUEBLO,53428,SANDIA FUEL,,O12062,SANDIA PUEBLO,U,EXEMPT,35.299842,-106.550997,1100 CAMINO DEL PUEBLO,,BERNALILLO,87004    ,NM,SANDOVAL,19-APR-03,
36487,76338,SANDIA PUEBLO,53428,SANDIA FUEL,,O12062,SANDIA PUEBLO,U,EXEMPT,35.299842,-106.550997,1100 CAMINO DEL PUEBLO,,BERNALILLO,87004    ,NM,SANDOVAL,19-APR-03,
36499,14596,MCINTYRE OIL CO,27295,CENTURY TWENTY ONE PROPERTY,,,,U,REMOVED,33.394344,-104.52094,201 N VIRGINIA,,ROSWELL,88201    ,NM,CHAVES,,01-FEB-77
36500,276362,BW GAS CONVENIENCE JOBBER LLC,26516,ALLSUP'S # 102263,,O13900,BW GAS CONVENIENCE RETAIL LLC,U,CURRENTLY IN USE,35.509386,-108.807338,2857 W HWY 66,,GALLUP,87301    ,NM,MCKINLEY,08-OCT-97,
36501,276362,BW GAS CONVENIENCE JOBBER LLC,26516,ALLSUP'S # 102263,,O13900,BW GAS CONVENIENCE RETAIL LLC,U,CURRENTLY IN USE,35.509386,-108.807338,2857 W HWY 66,,GALLUP,87301    ,NM,MCKINLEY,08-OCT-97,
36502,16400,ALLSUPS PETROLEUM INC,26516,ALLSUP'S # 102263,,,,U,REMOVED,35.509386,-108.807338,2857 W HWY 66,,GALLUP,87301    ,NM,MCKINLEY,01-JAN-82,06-OCT-97
36503,16400,ALLSUPS PETROLEUM INC,26516,ALLSUP'S # 102263,,,,U,REMOVED,35.509386,-108.807338,2857 W HWY 66,,GALLUP,87301    ,NM,MCKINLEY,01-JAN-82,06-OCT-97
36504,16400,ALLSUPS PETROLEUM INC,26516,ALLSUP'S # 102263,,,,U,REMOVED,35.509386,-108.807338,2857 W HWY 66,,GALLUP,87301    ,NM,MCKINLEY,01-JAN-82,06-OCT-97
36505,353,CIRCLE K STORES INC,53613,CIRCLE K STORE NO - 8945,,O1674,CIRCLE K STORES INC,U,CURRENTLY IN USE,36.018739,-106.960871,6401 HWY 550,,CUBA,87013    ,NM,SANDOVAL,10-JUL-03,
36506,353,CIRCLE K STORES INC,53613,CIRCLE K STORE NO - 8945,,O1674,CIRCLE K STORES INC,U,CURRENTLY IN USE,36.018739,-106.960871,6401 HWY 550,,CUBA,87013    ,NM,SANDOVAL,10-JUL-03,
36507,47089,HERRERA TRINNI ,53329,FORMER GAS STATION POJOAQUE,,,,U,REMOVED,35.86407,-106.001759,17809 HWY 285,,SANTA FE,87501    ,NM,SANTA FE,01-JAN-00,01-JUN-77
36508,47089,HERRERA TRINNI ,53329,FORMER GAS STATION POJOAQUE,,,,U,REMOVED,35.86407,-106.001759,17809 HWY 285,,SANTA FE,87501    ,NM,SANTA FE,01-JAN-00,01-JUN-77
36509,47089,HERRERA TRINNI ,53329,FORMER GAS STATION POJOAQUE,,,,U,REMOVED,35.86407,-106.001759,17809 HWY 285,,SANTA FE,87501    ,NM,SANTA FE,01-JAN-00,01-JUN-77
36510,314,BREWER OIL COMPANY,53818,MORIARTY SHELL,,O1309,,U,REMOVED,35.009862,-106.065426,101 RTE 66 E,,MORIARTY,87035    ,NM,TORRANCE,01-SEP-99,11-JUN-08
36511,314,BREWER OIL COMPANY,53818,MORIARTY SHELL,,O1309,,U,REMOVED,35.009862,-106.065426,101 RTE 66 E,,MORIARTY,87035    ,NM,TORRANCE,01-SEP-99,11-JUN-08
36513,15777,RILEY PAUL ,26349,ABANDONED GAS STATION D,,,,U,REMOVED,36.76267,-103.83777,W HWY 64 87,,DES MOINES,88418    ,NM,UNION,01-JAN-00,05-SEP-06
36523,6452,FAST STOP INC,27993,FAST STOP 2,,O1763,FAST STOP INC,U,CURRENTLY IN USE,33.115975,-107.29481,719 S BROADWAY,,WILLIAMSBURG,87901    ,NM,SIERRA,02-MAY-03,
36543,349,ONDA OIL CO,32018,LAWRENCE BROS IGA,,,,U,REMOVED,33.393957,-104.535459,900 W 2ND,,ROSWELL,88201    ,NM,CHAVES,01-JAN-00,28-DEC-83
36544,349,ONDA OIL CO,32018,LAWRENCE BROS IGA,,,,U,REMOVED,33.393957,-104.535459,900 W 2ND,,ROSWELL,88201    ,NM,CHAVES,01-JAN-00,28-DEC-83
36554,15464,CHEVRON USA INC MARKETING DEPT,48001,CHEVRON PROPERTY,,,,U,REMOVED,32.841967,-104.409294,1013 W MAIN ST,,ARTESIA,88210    ,NM,EDDY,01-JAN-00,01-JAN-80
36555,15464,CHEVRON USA INC MARKETING DEPT,48001,CHEVRON PROPERTY,,,,U,REMOVED,32.841967,-104.409294,1013 W MAIN ST,,ARTESIA,88210    ,NM,EDDY,01-JAN-00,01-JAN-80
36556,2857,SMITHS FOOD AND DRUG CENTERS INC,53898,SMITHS FOOD AND DRUG #427,,O1274,,U,CURRENTLY IN USE,35.067273,-106.497317,200 TRAMWAY BLVD SE,,ALBUQUERQUE,87123    ,NM,BERNALILLO,27-AUG-03,
36557,276281,"FIVE POINTS HOLDINGS, LLC",53899,MAX'S FLEET FUEL,,O7592,BREWER OIL CO,U,CURRENTLY IN USE,35.659312,-105.984698,2631 CERRILLOS ROAD,,SANTA FE,87505    ,NM,SANTA FE,21-MAY-03,
36558,276281,"FIVE POINTS HOLDINGS, LLC",53899,MAX'S FLEET FUEL,,O7592,BREWER OIL CO,U,CURRENTLY IN USE,35.659312,-105.984698,2631 CERRILLOS ROAD,,SANTA FE,87505    ,NM,SANTA FE,21-MAY-03,
36561,15172,A DOC OIL CO,26322,A DOC OIL CO A EXXON BELL GAS NO239,,,,U,REMOVED,33.394002,-104.53877,1112 W 2ND,,ROSWELL,88201    ,NM,CHAVES,01-JAN-00,09-JUL-03
36562,47583,GALLEGOS ADOLPH ,54142,ADOLPH GALLEGOS STORE,,,,U,REMOVED,36.941762,-105.454325,HWY 196,,AMALIA,87512    ,NM,TAOS,01-JAN-73,22-JUL-03
36569,47606,TAYLOR JOHN ,54167,BOBS BAR B Q,,,,U,REMOVED,32.298199,-106.789655,810 S VALLEY DR,,LAS CRUCES,88006    ,NM,DONA ANA,01-JAN-00,22-JUL-03
36570,47606,TAYLOR JOHN ,54167,BOBS BAR B Q,,,,U,REMOVED,32.298199,-106.789655,810 S VALLEY DR,,LAS CRUCES,88006    ,NM,DONA ANA,01-JAN-00,22-JUL-03
36581,47849,CITICORP BANK CENTURY 21 DYNAMIC BROKERS,54232,ABANDONED PROPERTY,,,,U,EXEMPT,35.507477,-105.256253,HCR 31 BOX 13,NO -2 ROMEROVILLE RD,LAS VEGAS,87701    ,NM,SAN MIGUEL,,14-JUL-03
36582,47849,CITICORP BANK CENTURY 21 DYNAMIC BROKERS,54232,ABANDONED PROPERTY,,,,U,EXEMPT,35.507477,-105.256253,HCR 31 BOX 13,NO -2 ROMEROVILLE RD,LAS VEGAS,87701    ,NM,SAN MIGUEL,,14-JUL-03
