FacilityID,tank_name,Tank Type,Tank Use,Status,OCC Exempt,Compartments,Capacity,InstalledDate,Tank Material,Tank Construction,Manifold,LastUsedDate,ClosedDate,InPlaceApproval,SiteAssessment,Facility,Latitude,Longitude
14236,5.0,UST,Retail,CIU,False,2,12000,7/1/2007,Steel With Fiberglass,Double Walled,False,,,False,False,Ozzie's,36.8046,-10.052
14236,6.0,UST,Retail,CIU,False,2,16000,7/1/2007,Steel With Fiberglass,Double Walled,False,,,False,False,Ozzie's,36.8046,-10.052
14289,4.0,UST,Retail,CIU,False,2,16000,9/15/2006,Steel With Fiberglass,Single Walled,False,,,False,False,Lazy DS C-Store,36.8695,-100.8733
14289,5.0,UST,Retail,CIU,False,1,12000,9/15/2006,Steel With Fiberglass,Single Walled,False,,,False,False,Lazy DS C-Store,36.8695,-100.8733
14289,6.0,UST,Retail,CIU,False,1,12000,9/15/2006,Steel With Fiberglass,Single Walled,False,,,False,False,Lazy DS C-Store,36.8695,-100.8733
440,1.0,UST,Retail,CIU,False,1,12000,2/12/1980,Steel,Single Walled,False,,,False,False,R & K  Superette,35.4119,-99.4016
440,2.0,UST,Retail,CIU,False,1,8000,2/12/1980,Steel,Single Walled,False,,,False,False,R & K  Superette,35.4119,-99.4016
440,3.0,UST,Retail,CIU,False,1,8000,2/12/1980,Steel,Single Walled,False,,,False,False,R & K  Superette,35.4119,-99.4016
442,1.0,UST,Retail,CIU,False,1,10000,2/11/1982,Steel,Single Walled,False,,,False,False,Hutch's #105,35.4212,-99.3823
442,2.0,UST,Retail,CIU,False,1,10000,2/11/1982,Steel,Single Walled,False,,,False,False,Hutch's #105,35.4212,-99.3823
442,3.0,UST,Retail,CIU,False,1,8000,2/11/1982,Steel,Single Walled,False,,,False,False,Hutch's #105,35.4212,-99.3823
445,1.0,UST,Retail,CIU,False,1,12000,4/7/1983,Steel,Single Walled,False,,,False,False,Southbound Quick Stop,35.2887,-99.6403
445,2.0,UST,Retail,CIU,False,1,10000,4/7/1983,Steel,Single Walled,False,,,False,False,Southbound Quick Stop,35.2887,-99.6403
445,3.0,UST,Retail,CIU,False,1,10000,4/7/1983,Steel,Single Walled,False,,,False,False,Southbound Quick Stop,35.2887,-99.6403
782,1.0,UST,Retail,CIU,False,1,10000,2/12/1978,Steel,Single Walled,False,,,False,False,C & K Quick Stop,35.2147,-99.8694
782,2.0,UST,Retail,CIU,False,1,6000,2/12/1978,Steel,Single Walled,False,,,False,False,C & K Quick Stop,35.2147,-99.8694
782,3.0,UST,Retail,CIU,False,1,4000,2/12/1978,Steel,Single Walled,False,,,False,False,C & K Quick Stop,35.2147,-99.8694
1473,2.0,UST,Retail,CIU,False,1,6000,4/1/1980,Steel,Single Walled,False,,,False,False,Elk City Municipal Airport,35.4259,-99.3959
1473,3.0,UST,Retail,CIU,False,1,6000,4/1/1980,Steel,Single Walled,False,,,False,False,Elk City Municipal Airport,35.4259,-99.3959
3157,1.0,UST,Retail,CIU,False,1,12000,4/9/1982,Steel,Single Walled,False,,,False,False,Love's Fuel Stop #201,35.4226,-99.3722
3157,2.0,UST,Retail,CIU,False,1,12000,4/9/1982,Steel,Single Walled,False,,,False,False,Love's Fuel Stop #201,35.4226,-99.3722
3157,3.0,UST,Retail,CIU,False,1,12000,4/9/1982,Steel,Single Walled,False,,,False,False,Love's Fuel Stop #201,35.4226,-99.3722
3157,4.0,UST,Retail,CIU,False,1,20000,4/9/1982,Steel,Single Walled,False,,,False,False,Love's Fuel Stop #201,35.4226,-99.3722
3157,5.0,UST,Retail,CIU,False,1,20000,4/9/1982,Steel,Single Walled,False,,,False,False,Love's Fuel Stop #201,35.4226,-99.3722
3183,4.0,UST,Retail,CIU,False,1,12000,4/25/1995,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store #31,35.412,-99.4159
3183,5.0,UST,Retail,CIU,False,2,12000,4/25/1995,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store #31,35.412,-99.4159
4222,4.0,UST,Retail,CIU,False,1,12000,5/1/1997,Steel With Fiberglass,Single Walled,True,,,False,False,Domino #9,35.4134,-99.4199
4222,5.0,UST,Retail,CIU,False,1,8000,5/1/1997,Steel With Fiberglass,Single Walled,False,,,False,False,Domino #9,35.4134,-99.4199
4816,1.0,UST,Retail,CIU,False,1,10000,4/11/1981,Steel,Single Walled,False,,,False,False,Hutch's #122,35.4182,-99.4344
4816,2.0,UST,Retail,CIU,False,1,10000,4/11/1981,Steel,Single Walled,False,,,False,False,Hutch's #122,35.4182,-99.4344
4822,4.0,UST,Retail,CIU,False,1,12000,2/14/1992,Steel With Fiberglass,Single Walled,False,,,False,False,Kwik Run 1220,35.4214,-99.4031
4822,5.0,UST,Retail,CIU,False,1,6000,2/14/1992,Steel With Fiberglass,Single Walled,False,3/31/2020,,False,False,Kwik Run 1220,35.4214,-99.4031
4822,6.0,UST,Retail,CIU,False,1,4000,2/14/1992,Steel With Fiberglass,Single Walled,False,,,False,False,Kwik Run 1220,35.4214,-99.4031
4824,1.0,UST,Retail,CIU,False,1,6000,4/12/1979,Steel,Single Walled,False,,,False,False,R & R Get It Quick Inc,35.2214,-99.5052
4824,2.0,UST,Retail,CIU,False,1,10000,4/12/1979,Steel,Single Walled,False,,,False,False,R & R Get It Quick Inc,35.2214,-99.5052
4824,3.0,UST,Retail,CIU,False,1,12000,4/12/1979,Steel,Single Walled,False,,,False,False,R & R Get It Quick Inc,35.2214,-99.5052
5302,1.0,UST,Retail,CIU,False,1,12000,4/22/1981,Steel,Single Walled,False,,,False,False,Quick & Easy Stores Inc #8,35.4116,-99.4404
