CounterID,EventID,Status,Lead,StatusDate,LUSTStatusCommentsText,ProjectOfficer
6633,2535,Remedy Decision Pending (ongoing monitoring),RP-Lead,2008-11-06, 9/2008 semi annual gw monitoring rept,Shaobin Li
6634,2200,Confirmed Release,RP-Lead,2009-03-17,via crn.  Release is while cutting diesel line during closure,Shaobin Li
6635,2131,LUST Cleanup Initiated,RP-Lead,2008-08-29,ust closure and assessment rept dated 8/29/2008,Shaobin Li
6636,2131,Site Cleanup Completed (NFA),RP-Lead,2009-03-25,"DOH NFA letter dated March 25, 2009(U0321SL)",Shaobin Li
6637,2201,Confirmed Release,RP-Lead,2009-03-21,via email to shaobin li - rk,Shaobin Li
6638,725,Site Assessment Ongoing,RP-Lead,2008-10-08,"Environmental Hazard Evaluation, Former Kahului Baseyard, 380 Alamaha Place, Kahului, Maui, Hawaii, dated October 8, 2008 and prepared by Bureau Veritas North America, Inc. (Bureau Veritas).",Shaobin Li
6639,2202,Confirmed Release,RP-Lead,2007-08-29,via the closure rept - rk,Nicole Peterman
6640,2203,Confirmed Release,RP-Lead,2009-01-15,,Shunsheng Fu
6641,725,Exposure Prevention Management Plan,RP-Lead,2009-03-31,EHMP in addition to EHE for the site,Shaobin Li
6642,1984,Active Remediation,RP-Lead,2009-04-01,"Semi-Annual Groundwater Monitoring and Product Recovery Report, dated October 29, 2008 and prepared by Element Environmental.",Shaobin Li
6643,2535,Active Remediation,RP-Lead,2009-04-01,"Semi-Annual Groundwater Monitoring and Product Recovery Report, dated October 29, 2008 and prepared by Element Environmental.",Shaobin Li
6644,496,Monitored Natural Attenuation,RP-Lead,2009-03-18, 4th qtr 20008 oct 2008 semiannua status rept dated 3/12/2009,Shaobin Li
6645,448,Exposure Prevention Management Plan,RP-Lead,2008-04-14,"DOH letter dated April 14, 2008 (U0412SL)",Shaobin Li
6646,1966,Site Cleanup Completed (NFA),RP-Lead,2009-03-13,"Letter dated March 13, 2009",Josh Nagashima
6647,2196,LUST Cleanup Initiated,RP-Lead,2009-02-04,,Josh Nagashima
6648,2196,Site Cleanup Completed (NFA),RP-Lead,2009-03-13,,Josh Nagashima
6649,2189,LUST Cleanup Initiated,RP-Lead,2009-01-22,,Richard Takaba
6650,2189,Site Cleanup Completed (NFA),RP-Lead,2009-03-05,NFA U0304RT,Richard Takaba
6651,2185,LUST Cleanup Initiated,RP-Lead,2008-11-11,,Richard Takaba
6652,2185,Active Remediation,RP-Lead,2008-11-15,,Richard Takaba
6653,765,Site Cleanup Completed (NFA),RP-Lead,2009-03-25,NFA U0324RT,Richard Takaba
6654,1059,Site Cleanup Completed (NFA),RP-Lead,2009-03-25,NFA U0324RT,Richard Takaba
6655,830,Monitored Natural Attenuation,RP-Lead,2009-03-12,,Richard Takaba
6656,466,2 Year pre-NFA monitoring,RP-Lead,2009-11-12,Date of receipt of GW monitoring report.,Darren Park
6657,2046,2 Year pre-NFA monitoring,RP-Lead,2008-11-12,Date of receipt of GW monitoring report.,Darren Park
6658,613,2 Year pre-NFA monitoring,RP-Lead,2009-03-03,Date of final GW monitoring report,Darren Park
6659,1150,2 Year pre-NFA monitoring,RP-Lead,2008-04-08,Date of receipt of EHMP,Darren Park
6660,264,Active Remediation,RP-Lead,1995-05-14,"2.	Letter Report – Soil Excavation and Remediation, dated May 14,1995, and prepared by Edward K. Noda and Associates, Inc.",Shaobin Li
6661,2205,Confirmed Release,RP-Lead,1972-01-01,"1,800 gallon release in 1972 from the 25,000 gallon tank that was removed in 1978",Richard Takaba
6662,2206,Confirmed Release,RP-Lead,2009-04-08,,Josh Nagashima
6663,2208,Confirmed Release,RP-Lead,2009-03-23,via closure rept - rk,Richard Takaba
6664,2209,Confirmed Release,RP-Lead,2009-05-07,"DOH CRN letter dated May 20, 2009(U0514SL)",Shaobin Li
6665,2188,LUST Cleanup Initiated,RP-Lead,2009-02-03,,Shunsheng Fu
6666,2188,Site Cleanup Completed (NFA),RP-Lead,2009-04-15,,Shunsheng Fu
6667,1946,Site Cleanup Completed (NFA),RP-Lead,2009-03-12,,Shunsheng Fu
6668,2184,LUST Cleanup Initiated,RP-Lead,2009-03-11,"recovery of free product on the groundwater surface, and  petroleum-impacted soil excavation",Shaobin Li
