Compliance Count ID,Compliance ID,StateSectionNumber,OriginalPenalty,FinalPenalty,SOCType,ComplianceDetailCommentsText,ViolationWithdrawn,ViolationResolved
117,116,,,0.0,,OTHER: U08072JS Rich did the inspection.  Jan wrote the ltr. UST IS TOU FOR MORE THAN 12 MONTHS.,False,False
118,117,,,0.0,,Written Warning: USTS REMOVED IN 2/91 - RK,False,False
119,118,,,0.0,,Written Warning: CHARLEY LANGER AND RUSS BECKWITH ALSO WENT ON THE INSPECTION.   4/20/99 RECEIVED LETTER THAT UST REMOVED - RK,False,False
120,119,,,0.0,,Written Warning: TOU letter,False,False
121,120,,,0.0,,Written Warning: 3/28/200 RECEIVED CLOSURE REPT - RK,False,False
122,121,,,0.0,,"None: 4/29/99 RECEIVED RECORDS - RK
3/28/2000 RECEIVED CLOSURE RPET - RK",False,False
123,122,,,0.0,,Written Warning: U1160RT,False,False
124,123,,,0.0,,None: REINSPECTED IN 4/25/2001,False,False
125,124,,,0.0,,Written Warning,False,False
126,125,,,0.0,,Written Warning: 6/2/97 U0611AEJ,False,False
127,126,,,0.0,,No Violation Letter: u07059aej,False,False
128,127,,,0.0,,"Written Warning: U1230RT   3/11/2000 the (2) 3,000 gallon ust were removed - rk",False,False
129,128,,,0.0,,"Field Citation: FINED $50 - 5/7/97
12/22/98 2 USTS ARE TOU EFF 11/30/98 - RK",False,False
130,129,,,0.0,,"Written Warning: u07099aej  3/11/2000 the 3,000 gallons usts removed - rk",False,False
131,130,,,0.0,,,False,False
132,131,,,0.0,,,False,False
133,132,,,0.0,,Written Warning,False,False
134,133,,,0.0,,Written Warning: 6/6/97 U0646JR,False,False
135,134,,,0.0,,Written Warning: U07067AEJ,False,False
136,135,,,0.0,,Written Warning: U1169RT,False,False
137,136,,,0.0,,Written Warning: 9/22/98 RECEIVED NOTIFICAITON THAT ALL USTS WERE REMOVED - RK,False,False
138,137,,,0.0,,Written Warning,False,False
139,138,,,0.0,,"Field Citation: FINED $900

12/4/2002 REC INFORMATION THAT ALL THE USTS ARE REMOVED - RK",False,False
140,139,,,0.0,,Written Warning: U07097AEJ    12/4/2002 REC INFORMATION THAT ALL THE USTS ARE REMOVED - RK,False,False
141,140,,900.0,900.0,,"Field Citation: FINED 900, TONY ACCOMPANY - RK",False,False
142,141,,,0.0,,Written Warning,False,False
143,142,,500.0,500.0,,"Field Citation: 5/5/2000 W/NORWOOD.  FINED $500 - RK  

6/26/2000 RECEIVED CHECK AND SIGNED CITATION - RK

8/1/2000 LTR TO GARY GILL SIGNATURE - RK

9/21/2000 CHECK WAS RETURNED - RK

12/7/2000 ADINA FILED CLAIM WITH THE BANKRUPTCY COURT - RK

1ᬁর؂_x0013_砇᭴뫠؂ޮ",False,False
145,144,,,0.0,,Written Warning,False,False
146,145,,,0.0,,Field Citation: fined 350.,False,False
147,146,,,0.0,,Written Warning: U1122RT,False,False
148,147,,,0.0,,"Field Citation: JACK ACCOMPANY.  FFC ISSUED BY NORWOOD SCOTT, FINED $300, REC'D COPY OF CITATION, 8/13/97 UST REMOVED",False,False
149,148,,,0.0,,Written Warning,False,False
150,149,,,0.0,,Written Warning,False,False
151,150,,,0.0,,Written Warning,False,False
152,151,,,0.0,,Field Citation,False,False
153,152,,,0.0,,None: U0682AEJ,False,False
154,153,,,0.0,,,False,False
155,154,,,0.0,,,False,False
156,155,,,0.0,,OTHER: 10/12/2000 received notification form - rk  1 0/17/2000 RECEIVED DIAGRAM AND INFORM ON RELEASE DETECTION - RK,False,False
157,156,,,0.0,,None: no violation letter u06088aej,False,False
158,157,,,0.0,,"Written Warning: 2/12/99 insufficient LETTER WAS SENT (02057AEJ) - RK
3/18/99 RECEIVED NOTIFICATION FORM SHOWING COMPLIANCE WITH OVERFILL. -- RK",False,False
159,158,,,0.0,,,False,False
160,159,,,0.0,,Written Warning: still out of compliance,False,False
161,160,,,0.0,,Field Citation,False,False
162,161,,,0.0,,"Written Warning: 2/12/99 INSUFFICIENT LETTER SENT (02056AEJ) - RK
3/18/99 RECEIVED NOTIFICATION FORM SHOWING COMPLIANCE WITH OVERFILL. - RK",False,False
163,162,,,0.0,,,False,False
164,163,,,0.0,,None: NO VIOLATION LETTER U06089AEJ,False,False
165,164,,,0.0,,,False,False
166,165,,,0.0,,None: no citations issued,False,False
167,166,,,0.0,,No Violation Letter: U0530aej,False,False
168,167,,,0.0,,Written Warning: 3/10/97 USTS REMOVED - RK,False,False
169,168,,50.0,0.0,,Field Citation: FINED $50,False,False
170,169,,,0.0,,None: NO INSPECTION LTR,False,False
171,170,,,0.0,,Written Warning,False,False
172,171,,,0.0,,Written Warning: U10064KN,False,False
173,172,,,0.0,,Written Warning: U0540RT,False,False
174,173,,,0.0,,Field Citation: fined $1050.00.  setlled & in compliance 1-14-98,False,False
175,174,,,0.0,,Written Warning: 1/18/98 UST REMOVED.  - RK,False,False
176,175,,,0.0,,None: NO CITATION WAS ISSUED,False,False
177,176,,,0.0,,Written Warning: 12/11/98 USTS REMOVED.  THUS CLOSING THIS CASE - RK,False,False
178,177,,,0.0,,"Field Citation: FINED 450, RICH ACCOMPANY NORWOOD - RK",False,False
179,178,,,0.0,,Written Warning: 5/30/97 U0547RT,False,False
180,179,,,0.0,,"OTHER: issued noi w/ numerous follow-up 

 5/19/2000 RECEIVED INFORMATION AND NOTIFICATION FORM - RK

9/21/2000 RECEIVED INFORMATION - RK

1/10/2002 REINSPECTED SITE - RK",False,False
181,180,,,0.0,,Written Warning: U0564RT,False,False
182,181,,,0.0,,Written Warning: 1/5/98 RECEIVED NOTIFICATION THAT THE 500 AND THE 1000 GALLON UST WERE REMOVED ON 6/1/97 - RK,False,False
183,182,,,0.0,,Field Citation: FINED $450,False,False
184,183,,,0.0,,Written Warning: u09172js; U03055JS,False,False
185,184,,,0.0,,Written Warning: 1/25/1999 LAST OF THE 3 TANKS WERE REMOVED - RK,False,False
186,185,,,0.0,,"Written Warning: u05085js a certified mail was sent - rk; 6/8/99 RECEIVED INFORMATION FROM LOUI CHANG - RK

7/13/99 received doh requested informtion - rk

11/23/2001 rec closure rept - rk",False,False
187,186,,,0.0,,Written Warning: U0507RT,False,False
188,187,,200.0,200.0,,"Field Citation: $ 200 Field Citation, see above

8/22/2000 ltr to gary gill for signature - rk",False,False
190,189,,,0.0,,Written Warning: U0565RT,False,False
191,190,{2000}  51(a),300.0,300.0,Not Detect,"Field Citation: FINED $750.  Field Citation Items listed above   

10/25/2000 RECEIVED CHECK BUT NOT THE SIGNED CITATION - RK

11/9/2000 RECEIVED SIGNED CITATION - RK",False,False
193,192,,,0.0,,OTHER: u07018aej ust removed.  requested them to complete notification form - rk  8/2/99 RECEIVED NOTIFICATION FORM - RK,False,False
194,193,,,0.0,,Written Warning: 8/3/98 INSUFF LTR - RK,False,False
