FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID,DispenserID,DispenserUDC,DispenserUDCWallType
5-000624,Delaware Sporting Gallery,Private Organization,Commercial,,107 Pennslyvania Avenue,,Seaford,Sussex,19973,DE,3,,,38.639505,-75.615669,Map interpolation,Peterson Monynihan & Moore,,No,,,,,,,,No,,,,Yes,S9009065,,,
5-000625,Bell Atlantic Inc,Private Organization,Commercial,,125 Arch Street,,Seaford,Sussex,19973,DE,3,,,38.642413,-75.610838,Map interpolation,Verizon Delaware,,No,,,,,,,,No,,,,,,,,
5-000626,Nanticoke Wildlife Area,Private Organization,Other,,Old Sharptown Road,,Laurel,Sussex,19956,DE,3,,,38.54622,-75.655063,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,,,,,
5-000627,Wilson Baker Inc Rehoboth Beach,Private Organization,Retail fuel sales (non-marina),,19884 Coastal Highway,,Rehoboth Beach,Sussex,19971,DE,3,,,38.7146,-75.1083,Map interpolation,Wilson Baker,,Yes,NO,YES,NO,NO,NO,,NO,No,NO,NO,,,,,,
5-000628,Assawoman Wildlife Area,Private Organization,Other,,37604 Mulberry Landing Rd,,Frankford,Sussex,19945,DE,3,,,38.498,-75.0944,Map interpolation,DE DNREC - Fish & Wildlife Division,,No,,,,,,,,No,,,,Yes,S9504092,,,
5-000629,City of Seaford Police Department,Local Organization,Commercial,,300 Virginia Avenue,,Seaford,Sussex,19973,DE,3,,,38.653747,-75.614047,Map interpolation,City Of Seaford,,No,,,,,,,,No,,,,Yes,S9110233,,,
5-000632,Masseys Landing Boat Ramp,Private Organization,Other,,End of Long Neck Rd,,Millsboro,Sussex,19966,DE,3,,,38.6252,-75.0998,Map interpolation,DE DNREC - Fish & Wildlife Division,,No,,,,,,,,No,,,,Yes,S9205152,,,
5-000635,City of Rehoboth City Hall,Local Organization,Commercial,,229 Rehoboth Avenue,PO Box C,Rehoboth Beach,Sussex,19971,DE,3,,,38.716391,-75.083802,Map interpolation,Rehoboth Beach (City of),,No,,,,,,,,No,,,,Yes,S1603030,,,
5-000636,North Shores Pumping Station City of Rehoboth,Local Organization,Industrial,,E End of S  Rodney,,Dewey Beach,Sussex,19971,DE,3,,,38.734,-75.08,Map interpolation,Rehoboth Beach (City of),,No,,,,,,,,No,,,,Yes,S1202015,,,
5-000637,Rehoboth Public Works Garage,Local Organization,Commercial,,1 Lincoln Street,,Rehoboth Beach,Sussex,19971,DE,3,,,38.706619,-75.092786,Map interpolation,Rehoboth Beach (City of),,No,NO,NO,NO,NO,NO,,NO,No,NO,NO,,,,,,
5-000638,Laurel Airport Parachute,Private Organization,Commercial,,140 Sharptown Road,,Laurel,Sussex,19956,DE,3,,,38.541088,-75.591288,Map interpolation,Diane Boyce-Irene Graham,,No,,,,,,,,No,,,,Yes,S9605083,,,
