facility_id,land_location_id,facility_desc,facilitystatus,created_by,created_date,updated_by,updated_date,tribe_owned,potential_abandoned,state_id_number,icis_number,frs_number
2165,2244,Loves Travel Stop 712,Operating,Lthomas,2017-10-31 00:00:00,,,FALSE,,,,
2166,2245,Fort Sill Apache Market,Operating,Lthomas,2018-08-01 00:00:00,,,TRUE,,,,
2167,2246,Koasati Pines Golf Course,Operating,Lthomas,2018-09-18 00:00:00,,,TRUE,,,,
2168,2247,Adawe Travel Plaza,Operating,Lthomas,2019-04-09 00:00:00,,,TRUE,,,,
2169,2248,OhKay Travel Center,Operating,dander05,2014-10-01 00:00:00,,,TRUE,,,,
2170,2249,Choctaw Travel Plaza Talihina,Operating,Lthomas,2019-04-30 00:00:00,,,TRUE,,,,
2171,2250,Chickasaw Travel Plaza - Willis,Operating,jridley,2019-08-08 00:00:00,,,TRUE,,,,
2172,2251,Choctaw Nation Health Care Center 1EG,Operating,Lthomas,2019-09-04 00:00:00,,,TRUE,,,,
2173,2252,Choctaw Country Market-Boswell,Operating,rsnavely,2019-10-29 00:00:00,,,TRUE,,,,
2174,2253,Hail Creek C-Store,Operating,rsnavely,2019-10-31 00:00:00,,,TRUE,,,,
2175,2254,Chevron #76082,Permanent Closed,Lthomas,2020-02-19 00:00:00,,,FALSE,,,,
2176,2255,Gonzales Chrysler,Permanent Closed,Lthomas,2020-02-20 00:00:00,,,TRUE,,,,
2177,2256,Allsups #125,Permanent Closed,Jwomack,2001-01-23 00:00:00,,,FALSE,,,,
2178,2257,Mr. Gas #309,Permanent Closed,Jwomack,2000-09-05 00:00:00,,,FALSE,,,,
2179,2258,Allsups #317,Operating,JWomack,2009-04-02 00:00:00,,,FALSE,,,,
2180,2259,Zuni Express #521,Operating,Hmann,2014-08-26 00:00:00,,,FALSE,,,,
2181,2260,Speedway 9672 (Mustang #7256 and Thriftway 256),Operating,Lthomas,2019-09-05 00:00:00,,,FALSE,,,,
2182,2261,Former Chevron Facility,Abandoned,JWomack,2011-09-26 00:00:00,,,FALSE,,,,
2183,2262,One Stop,Operating,dander05,2015-02-10 00:00:00,,,TRUE,,,,
2184,2263,Chickasaw Travel Stop (Newcastle),Permanent Closed,JWomack,2004-10-04 00:00:00,,,TRUE,,,,
2185,2264,Chickasaw Travel Stop (Goldsby),Permanent Closed,JWomack,2004-05-10 00:00:00,,,TRUE,,,,
2186,2265,San Pedro Mustang #41,Temporary Closed,JWomack,2006-03-27 00:00:00,,,FALSE,,,,
2187,2266,Isleta One Stop,Operating,dander05,2014-10-29 00:00:00,,,TRUE,,,,
2188,2267,Thunderbird Express (previously ASTribal Grocery),Operating,dander05,2015-01-08 00:00:00,,,TRUE,,,,
2189,2268,Apache Tribal Store,Temporary Closed,JWomack,2004-07-01 00:00:00,,,TRUE,,,,
2190,2269,Riverside Indian School (BIA),Permanent Closed,kcaigoy,1998-03-26 00:00:00,,,FALSE,,,,
2191,2270,Chilocco Indian School Maintenance Yard,Permanent Closed,Jwomack,2000-03-28 00:00:00,,,FALSE,,,,
2192,2271,Clinton Indian Health Hospital,Permanent Closed,Jwomack,1999-12-21 00:00:00,,,FALSE,,,,
2193,2272,Heavy Equipment Yard,Permanent Closed,jwomack,2002-02-25 00:00:00,,,FALSE,,,,
2194,2273,Chickasaw Travel Stop - Davis East,Operating,Lthomas,2018-06-20 00:00:00,JRIDLEY,2021-09-13 13:16:58,TRUE,,,,
2195,2274,Chickasaw Travel Stop - Ada East,Operating,Lthomas,2018-06-20 00:00:00,JRIDLEY,2021-09-13 13:17:36,TRUE,,,,
2196,2275,Big D's Quick Stop,Permanent Closed,JWomack,2005-02-07 00:00:00,,,FALSE,,,,
2197,2276,Durant Travel Plaza #1,Operating,JWomack,2004-11-17 00:00:00,,,TRUE,,,,
2198,2277,Potawatomi Tribal Store #1,Permanent Closed,Jwomack,1999-12-21 00:00:00,,,TRUE,,,,
2199,2278,Firelake Golf Course,Permanent Closed,Jwomack,1999-12-21 00:00:00,,,TRUE,,,,
2200,2279,Okmulgee Indian Community,Permanent Closed,Jwomack,2001-01-23 00:00:00,,,FALSE,,,,
2201,2280,Creek Nation,Permanent Closed,Jwomack,1999-12-20 00:00:00,,,FALSE,,,,
2202,2281,Walatowa Convenience Store,Operating,dander05,2014-10-29 00:00:00,,,TRUE,,,,
2203,2282,Kiowa Smoke Shop,Permanent Closed,JWomack,2004-07-01 00:00:00,,,TRUE,,,,
2204,2283,Osage Agency Campus,Permanent Closed,dander05,2014-09-05 00:00:00,,,TRUE,,,,
