ut_facility_owner_hist_id,facility_id,start_date,end_date,date_observed,created_by,created_date,updated_by,updated_date,responsible_entity_id,entity_contact_id,facility_owner_id_obs
186,186,,,1997-12-08 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,501,477.0,105.0
188,188,,,1997-12-08 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,503,478.0,107.0
190,190,,,2001-12-26 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,505,480.0,109.0
192,192,,,1997-12-08 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,507,482.0,111.0
193,193,,,1997-12-09 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,508,483.0,112.0
194,194,,,2001-12-26 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,505,480.0,109.0
196,196,,,2001-12-26 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,505,480.0,109.0
199,199,,,2002-10-08 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,428,419.0,32.0
201,201,,,1997-12-09 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,512,487.0,116.0
202,202,,,1997-12-09 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,513,488.0,117.0
204,204,,,1997-12-09 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,515,490.0,119.0
206,206,,,1997-12-09 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,517,492.0,121.0
208,208,,,1997-12-09 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,519,494.0,123.0
209,209,,,2001-05-17 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,520,495.0,124.0
211,211,,,2001-12-28 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,522,497.0,126.0
212,212,,,1997-12-10 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,521,496.0,125.0
213,213,,,1997-12-10 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,523,498.0,127.0
215,215,,,1998-07-27 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,400,391.0,4.0
216,216,,,1998-07-27 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,400,391.0,4.0
217,217,,,2000-04-17 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,525,500.0,129.0
218,218,,,1997-12-22 00:00:00,,2014-02-10 19:05:32,,2022-10-06 08:00:38,526,501.0,130.0
219,219,,,1998-02-12 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,527,502.0,131.0
220,220,,,1998-02-12 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,527,502.0,131.0
221,221,,,1998-02-12 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,527,502.0,131.0
222,222,,,1998-01-05 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,528,503.0,132.0
223,223,,,1998-05-05 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,529,504.0,133.0
224,224,,,2000-08-10 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,530,505.0,134.0
225,225,,,1999-11-23 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,531,,135.0
227,227,,,1998-01-06 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,533,507.0,137.0
228,228,,,1998-01-06 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,534,508.0,138.0
229,229,,,1998-01-06 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,535,509.0,139.0
