land_use_id,land_location_id,land_use_type_id,start_date,end_date,date_observed,land_use_note,created_by,created_date,updated_by,updated_date
98,98,1,,,1995-08-14 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
99,99,13,,,1986-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
100,100,13,,,1901-01-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
101,101,1,,,1986-05-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
102,102,1,,,1995-09-04 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
103,103,1,,,1995-12-06 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
104,104,1,,,1986-11-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
105,105,1,,,1989-03-20 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
106,106,1,,,1989-01-04 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
107,107,16,,,1988-10-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
108,108,1,,,1986-04-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
109,109,1,,,1992-11-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
110,110,1,,,2000-03-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
111,111,1,,,2000-03-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
112,112,1,,,1995-08-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
113,113,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
114,114,1,,,2000-03-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
115,115,1,,,1997-09-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
116,116,1,,,2001-04-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
117,117,1,,,2000-03-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
118,118,1,,,2001-07-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
119,119,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
120,120,1,,,1995-08-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
121,121,1,,,1993-08-27 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
122,122,1,,,1989-05-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
123,123,1,,,2000-04-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
124,124,1,,,1997-09-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
125,125,1,,,1995-12-22 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
126,126,1,,,1988-11-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
127,127,1,,,1988-11-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
128,128,1,,,1993-08-27 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
129,129,1,,,1998-10-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
130,130,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
131,131,1,,,2000-03-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
132,132,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
133,133,1,,,1995-08-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
134,134,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
135,135,10,,,1995-08-24 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
136,136,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
137,137,13,,,1986-06-06 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
138,138,1,,,1995-08-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
139,139,1,,,1995-09-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
140,140,1,,,1986-03-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
141,141,1,,,1986-03-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
142,142,1,,,1992-03-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
143,143,1,,,1986-03-02 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
144,144,16,,,1995-06-02 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
145,145,1,,,1999-01-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
146,146,1,,,1995-08-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
147,147,1,,,1986-04-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
148,148,1,,,1986-05-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
149,149,1,,,1986-05-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
150,150,15,,,1901-01-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
151,151,1,,,1986-04-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
152,152,13,,,1995-08-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
153,153,12,,,1997-09-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
154,154,12,,,1998-05-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
155,155,4,,,1986-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
156,156,4,,,1985-12-03 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
157,157,18,,,1992-03-03 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
158,158,5,,,1993-07-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
159,159,1,,,1989-01-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
160,160,14,,,1989-04-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
161,161,4,,,1986-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
162,162,12,,,1986-05-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
163,163,4,,,1994-01-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
164,164,4,,,1985-12-03 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
165,165,4,,,1985-12-03 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
166,166,10,,,1985-12-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
167,167,13,,,1986-03-26 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
168,168,12,,,1986-05-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
169,169,12,,,1986-04-15 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
170,170,4,,,1993-12-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
171,171,12,,,1987-11-27 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
172,172,2,,,1995-01-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
173,173,12,,,1986-04-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
174,174,1,,,1990-09-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
175,175,13,,,2002-07-11 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
176,176,4,,,1986-05-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
177,177,4,,,1986-05-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
178,178,1,,,1997-09-10 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
179,179,1,,,1987-10-22 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
180,180,1,,,1988-10-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
181,181,1,,,1988-10-27 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
182,182,1,,,1988-10-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
183,183,1,,,1988-10-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
184,184,13,,,1993-09-27 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
185,185,5,,,1988-12-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
186,186,3,,,1990-06-20 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
